GEO_ID,NAME,H002001,H002002,H002003,H002004,H002005,H002006
id,Geographic Area Name,Total,Total!!Urban,Total!!Urban!!Inside urbanized areas,Total!!Urban!!Inside urban clusters,Total!!Rural,Total!!Not defined for this file
0400000US01,Alabama,2171853,1267224,1040659,226565,904629,0
0400000US02,Alaska,306967,182989,123286,59703,123978,0
0400000US04,Arizona,2844526,2515504,2242637,272867,329022,0
0400000US05,Arkansas,1316299,720584,506573,214011,595715,0
0400000US06,California,13680081,12814688,12051891,762797,865393,0
0400000US08,Colorado,2212898,1838986,1617575,221411,373912,0
0400000US09,Connecticut,1487891,1308541,1259361,49180,179350,0
0400000US10,Delaware,405885,339111,251189,87922,66774,0
0400000US11,District of Columbia,296719,296719,296719,0,0,0
0400000US12,Florida,8989580,8190007,7868477,321530,799573,0
0400000US13,Georgia,4088801,3021219,2627344,393875,1067582,0
0400000US15,Hawaii,519508,465032,343223,121809,54476,0
0400000US16,Idaho,667796,447466,320550,126916,220330,0
0400000US17,Illinois,5296715,4653006,4175309,477697,643709,0
0400000US18,Indiana,2795541,2045946,1661795,384151,749595,0
0400000US19,Iowa,1336417,848403,542462,305941,488014,0
0400000US20,Kansas,1233215,900963,609736,291227,332252,0
0400000US21,Kentucky,1927164,1117530,779669,337861,809634,0
0400000US22,Louisiana,1964981,1435286,1211651,223635,529695,0
0400000US23,Maine,721830,251161,166873,84288,470669,0
0400000US24,Maryland,2378814,2073112,1953855,119257,305702,0
0400000US25,Massachusetts,2808254,2566340,2504170,62170,241914,0
0400000US26,Michigan,4532233,3256662,2887280,369382,1275571,0
0400000US27,Minnesota,2347201,1638077,1289593,348484,709124,0
0400000US28,Mississippi,1274719,626138,352526,273612,648581,0
0400000US29,Missouri,2712729,1881796,1519706,362090,830933,0
0400000US30,Montana,482825,251958,116980,134978,230867,0
0400000US31,Nebraska,796793,564143,409695,154448,232650,0
0400000US32,Nevada,1173814,1097550,999698,97852,76264,0
0400000US33,New Hampshire,614754,343920,265821,78099,270834,0
0400000US34,New Jersey,3553562,3373106,3286946,86160,180456,0
0400000US35,New Mexico,901388,677019,467906,209113,224369,0
0400000US36,New York,8108103,6935786,6492127,443659,1172317,0
0400000US37,North Carolina,4327528,2787646,2280125,507521,1539882,0
0400000US38,North Dakota,317498,182040,122440,59600,135458,0
0400000US39,Ohio,5127508,4074109,3424890,649219,1053399,0
0400000US40,Oklahoma,1664378,1091090,750131,340959,573288,0
0400000US41,Oregon,1675562,1328268,1018953,309315,347294,0
0400000US42,Pennsylvania,5567315,4316955,3868362,448593,1250360,0
0400000US44,Rhode Island,463388,419181,416552,2629,44207,0
0400000US45,South Carolina,2137683,1423307,1203977,219330,714376,0
0400000US46,South Dakota,363438,200981,105088,95893,162457,0
0400000US47,Tennessee,2812133,1845423,1506349,339074,966710,0
0400000US48,Texas,9977436,8280411,7328804,951607,1697025,0
0400000US49,Utah,979709,848925,753757,95168,130784,0
0400000US50,Vermont,322539,106561,45774,60787,215978,0
0400000US51,Virginia,3364939,2458130,2256078,202052,906809,0
0400000US53,Washington,2885677,2379818,2123384,256434,505859,0
0400000US54,West Virginia,881917,424443,289445,134998,457474,0
0400000US55,Wisconsin,2624358,1743597,1378190,365407,880761,0
0400000US56,Wyoming,261868,162874,61697,101177,98994,0
0400000US72,Puerto Rico,1636946,1529804,1480462,49342,107142,0
